conflict_depth,non_multicast_divergent_access_pct,multicast_divergent_access_pct,dcache_non_multicast_cycles,smem_non_multicast_cycles,dcache_multicast_cycles,smem_multicast_cycles
1,3.125000,3.125000,145,105,160,130
2,6.250000,6.250000,190,130,200,150
3,9.375000,9.375000,250,155,260,170
4,12.500000,12.500000,310,180,320,190
5,15.625000,15.625000,370,205,380,210
6,18.750000,18.750000,430,230,440,230
7,21.875000,21.875000,490,255,500,250
8,25.000000,25.000000,550,280,560,270
9,28.125000,28.125000,610,305,620,290
10,31.250000,31.250000,670,330,680,310
11,34.375000,34.375000,730,355,740,330
12,37.500000,37.500000,790,380,800,350
13,40.625000,40.625000,850,405,860,370
14,43.750000,43.750000,910,430,920,390
15,46.875000,46.875000,970,455,980,410
16,50.000000,50.000000,1030,480,1040,430
17,53.125000,53.125000,1090,505,1100,450
18,56.250000,56.250000,1150,530,1160,470
19,59.375000,59.375000,1210,555,1220,490
20,62.500000,62.500000,1270,580,1290,510
21,65.625000,65.625000,1330,605,1360,530
22,68.750000,68.750000,1390,630,1435,550
23,71.875000,71.875000,1450,655,1510,570
24,75.000000,75.000000,1510,680,1585,590
25,78.125000,78.125000,1570,705,1660,610
26,81.250000,81.250000,1630,730,1735,630
27,84.375000,84.375000,1690,755,1810,650
28,87.500000,87.500000,1750,780,1885,670
29,90.625000,90.625000,1810,805,1960,690
30,93.750000,93.750000,1870,830,2035,710
31,96.875000,96.875000,1930,855,2110,730
32,100.000000,100.000000,1990,880,2185,750
