conflict_depth,dcache_cycles,scratchpad_cycles
1,4510,2400
2,5518,3000
3,6626,3600
4,7734,4200
5,8842,4800
6,9950,5400
7,11058,6000
8,12166,6600
9,13266,7200
10,14366,7800
11,15466,8400
12,16566,9000
13,17666,9600
14,18766,10200
15,19866,10800
16,20966,11400
17,22067,12000
18,23168,12600
19,24269,13200
20,25370,13800
21,26471,14400
22,27572,15000
23,28673,15600
24,29774,16200
25,30873,16800
26,31972,17400
27,33071,18000
28,34170,18600
29,35269,19200
30,36368,19800
31,37467,20400
32,38566,21000
